id,Ofiicial Account Name,Title,News Url,Image Url,Report Content,label
0,朝阳实拍,范冰冰出轨被偷拍？这才是真相！,http://mp.weixin.qq.com/s?__biz=MzI1NzIzNDkxNQ==&mid=2247491253&idx=6&sn=31897b03800b6e2e1578238a2778a4f8&chksm=ea1bdc39dd6c552fbfa7324b5efe07db615bc0347fc6022705848a5bbdd581eefff24ceed6f9#rd,http://mmbiz.qpic.cn/mmbiz_jpg/XUUcJo9yhYRlbztPoicWPnfIb34DJaB202DYynz4GzblGoI2BAttSGh96ODbN9xxwvuLKbMbMxQFr9YibZ6P2Ojw/0?wx_fmt=jpeg,发布误导信息,1
1,文刊,马容竟然去了非诚匆扰，一出场24盏灯全灭，孟爷爷都笑了,http://mp.weixin.qq.com/s?__biz=MzUxODE2MDMwMQ==&mid=2247490907&idx=2&sn=73264c0e17451cf7c4822b365b44ee8f&chksm=f98c7799cefbfe8f22834920ee923c880de13b409ca5c600c9ebb8ed6784223b144e1215e607#rd,https://mmbiz.qlogo.cn/mmbiz_jpg/X3Cv4sIxE7BiblwicicdJiaC2cVQsLOrQS1pDa7IDtsSqeWT0EibQQDJOTjdiaHcgacG792B1yyyViarNygks1qibV6cOg/0?wx_fmt=jpeg,标题与内容不符##骗点击##欺骗阅读者。,1
2,掌上武冈,突发：武冈西站木材市场燃起大火，浓烟滚滚火势巨大，现场...,http://mp.weixin.qq.com/s?__biz=MzAwMjM0NzMxOA==&mid=2651906059&idx=1&sn=ab97c741404c4dd12831b0c0cd89eba1&chksm=812f9852b6581144d03be06289ed388c2b42718ad5223a7929508f763823d9b959412b52c07a#rd,https://mmbiz.qlogo.cn/mmbiz_jpg/fnLwjhfLVGZQK1PHTMojGWqhViawJXCvBdiasLPUhSQRQLbe9iciatQ0KGQUA63aQicy9SDLLecymGJQR7kq0XffeZQ/0?wx_fmt=jpeg,报道内容不实，描述事实也不食,0
3,时事内幕爆料,辞职交警!爆`出贪 污惊人内幕！99%车主都不知道！速看,http://mp.weixin.qq.com/s?__biz=MzU3NjIzNTI5OA==&mid=2247483694&idx=1&sn=3ab3e76d5b9195e0a4ad499c688bc7bb&chksm=fd17b363ca603a752906a9187b5d76d82ed9ae29163ae32d6e3d31cff6c81305e7fc6bc6abd9#rd,https://mmbiz.qlogo.cn/mmbiz_jpg/hYnJtOcFjEhV0eBeUGWDTOCyLbHb2iaic3SPuE9ibUaUnvwWydDudEuXWpYypJ7TiarUcnrfSgJILDaPqNibI1wKxJg/0?wx_fmt=jpeg,谣言！##不实,0
4,大参考,美国两块让国人汗颜的告示牌，告诉我们离文明有多远,http://mp.weixin.qq.com/s?__biz=MzA5MDE4NTY4Mw==&mid=2649956399&idx=5&sn=33881418b1c53174572a78f80a8edb4e&chksm=88080a93bf7f83855ea8f516ef568217d4adbc33c5ec59d6a2a4a01ef58229e453b6c7278076#rd,http://mmbiz.qpic.cn/mmbiz_jpg/T0OtTToYoIR77vLmNpEIZR4oGo02syLdw4MeLh2wVxrelS7YHibBCnibmAHm6xPLDCRCicG64fvmcD0GYPpQjFPYA/0?wx_fmt=jpeg,虚假宣传##以偏概全,0
5,扒爷有料,周杰伦私生子？于正签约劈腿家暴男艺人？陈学冬粉撕黄景瑜？z女星的厉害公关？孟美歧粉丝被群嘲？,http://mp.weixin.qq.com/s?__biz=MzU0NjE1NjIwNA==&mid=2247487806&idx=1&sn=9dcf9671ed552a10ee5633e3dcb5eaee&chksm=fb60aafdcc1723ebe5e54bac43b53931773e2722db362b2f5541e014041ec7b82d7ce087672b#rd,http://mmbiz.qpic.cn/mmbiz_jpg/aunVJHLBzgx998gG9YibgV3KFL76GFlu5ablD22BHS1WPMNvGvj5CtshL5SDpiaZoibcdfYGKibiaaxsaIibwhO56f0Q/0?wx_fmt=jpeg,编造赵薇虚假新闻##周杰伦私生子信息不实,1
6,谈育阁,"40分25板! NBA球探真是名不虚传, 丁彦雨航彻底沦为三号球星",http://mp.weixin.qq.com/s?__biz=MzU5ODUwNTgwNw==&mid=2247484979&idx=7&sn=c7e8bc0c1c63c131d8fb9f4e6aa8d7bc&chksm=fe426613c935ef0546fb13b6ed10a8034572f69e76546c7080db152396525da7244a3bc75e19#rd,http://mmbiz.qpic.cn/mmbiz_jpg/4KCfxJRZFJakHphQnHVqd2eiavlj9nQn6yibWRQCS317jVicl7qtvogTR46wNWjCMQLHmAypVc8P542sBGq42CoTg/0?wx_fmt=jpeg,标题党,0
7,第一书评馆,台湾提出统一条件：一国两区，国名为“中华共和国”,http://mp.weixin.qq.com/s?__biz=MzA3MDc5NDE1Ng==&mid=2649833317&idx=2&sn=072d6da59f3900596f3ddf5fed4e33ab&chksm=8732f1a6b04578b0b704d031cbb26583a7d5c94a9edd155bb69275968ca5130aac7f713ed2d2#rd,http://mmbiz.qpic.cn/mmbiz_jpg/4KOjcpwFzsa12XKmGYHKPEgbM3hP3DWBSYSoNphjUlwhu5yqNBnWXichkTpXyMicnyDFrGNq2umLx2gLewKxWRaA/0?wx_fmt=jpeg,造谣 ##政治类不实信息##不实##政治##台湾提出统一同意条件是假新闻##完全假设有意识吗？##诱导##国台办何时回复过一国两区？##一派胡言##引战台湾问题##。##政治类不实信息 ##不实消息，涉统一问题，请引起重视。##不实##与宪法违背##   ##政治谣言！！！~~##假消息，谣言，旧闻杂揉。##误导吃瓜群众，这个是2012年提出的，该文章曲解和胡编乱造内容##台湾没有提出统一##胡说八道##文章内容误导群众对统一的认识，与一国两治的方针严重不符。##台湾问题##中秋节提醒您##一派胡言。##政治造谣##无中生有瞎编乱造的文章##误导人民群众##煽动恶斗！！！！！！##这么假还在传##台湾自古以来就是我国不可分离的一部分，这个标题一看就是煽动国家分离，我要投诉##什么玩意##，，，##有分裂祖国的暗示##没有根据##这种文章为什么不封，鼓动中国分裂，是西方和美国的在破坏中国的统一，瓦解共产党的领导。,1
8,热门爆笑坊,宋小宝离开了我们，令人心酸，全场落泪!!!,http://mp.weixin.qq.com/s?__biz=MzUxODMzMTg4MQ==&mid=2247492944&idx=1&sn=3a99398bbf2ceeca923e9b024c015747&chksm=f98829d6ceffa0c02a789d66b6ecc153f40f67886d3210271987ee17eb94d97f510233e0455f#rd,https://mmbiz.qlogo.cn/mmbiz_jpg/Qc39m5icTl0icJdRoBZmFwETjibj2hCI7oroomXYYmzA7IjPFkbM8PR3uWXkHQ3XslYDmO19Q2cr3RqWJorxdhz5A/0?wx_fmt=jpeg,标题党骗子,1
9,圈圈说娱,张艺兴；古力娜扎；贾乃亮；杨丞琳；钟丽缇,http://mp.weixin.qq.com/s?__biz=MzI3NjM0NDMxNQ==&mid=2247492119&idx=1&sn=e5a61759b2ee90bc21c056b76bc5dc70&chksm=eb745e83dc03d795ba58f388872b3e38a7dabd5a40a499cec1d7194025a3e04b7eb954376dd0#rd,http://mmbiz.qpic.cn/mmbiz_jpg/ZdLDY0qMBrPAXnBPCUeJlJib4T78AmYqQoV5tEhgnCekeoSarM5Kv3gRgOsF8e2KiaXoRicicFDqWI5USnrOMB1hlg/0?wx_fmt=jpeg,不实信息##描述不符##杨丞琳从未有过耍大牌，关于这件事她本人也已经做出澄清了。作者未了解清楚事实的情况下不应该随意表看法。##假的爆料 誤導人##诋毁名人明星##对明星艺人的不实信息披露 造成负面影响##中国台湾艺人杨丞琳并没有文中所述“情商堪忧”、“经常耍大牌”等行为现象。杨丞琳本人在面对媒体大众时，说话非常有礼貌，思路清晰，立场客观，而且语言幽默，善于化解尴尬。再者，杨丞琳待人真诚有礼，受到合作过的工作人员一致好评，耍大牌这等谣言不知为何要恶意传播。希望编者谨言慎行，不要影响公众人物的正面形象，谢谢！,0
